Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
54.4,1910797224,1,1910797224.0,1910797224.0,1910797224,1910797224,0.0,PushPop,:timing
29.0,1019246587,5,203849317.4,203890363.0,203633957,203980021,137094.0,PushPop,:backward
9.0,315636363,5,63127272.6,63123896.0,63111087,63153247,15731.1,PushPop,:optim_step
5.4,190005309,5,38001061.8,37967599.0,37929639,38087426,67187.3,PushPop,:forward_loss
0.7,24671675,160,154198.0,151628.0,143258,271035,12815.8,PushPop,:scaled_dot_product_attention
0.5,17955355,1455,12340.5,11860.0,9120,29900,2095.3,PushPop,:ncclAllReduce
0.4,12665043,5,2533008.6,2529879.0,2494279,2582648,39104.2,PushPop,:sync_grads
0.2,7707539,160,48172.1,47299.0,45139,67829,3015.2,PushPop,:computing softmax
0.2,7004137,160,43775.9,42134.5,39089,155897,9565.8,PushPop,:computing attention_scores
0.1,4850109,160,30313.2,29654.5,26769,40580,2180.0,PushPop,:computing output
0.1,3632704,160,22704.4,22210.0,20920,32020,1820.4,PushPop,:applying attention mask
0.0,1508296,5,301659.2,304125.0,296785,305725,4293.2,PushPop,:zero_grad
0.0,26850,5,5370.0,5380.0,5070,5570,185.9,PushPop,:cub::DeviceRadixSort
