Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.7,436569856,1,436569856.0,436569856.0,436569856,436569856,0.0,PushPop,:timing
15.1,195504529,2,97752264.5,97752264.5,96699563,98804966,1488744.7,PushPop,:backward
15.1,195468887,2,97734443.5,97734443.5,96683655,98785232,1486039.3,PushPop,:torch.autograd.backward
10.6,136987415,2,68493707.5,68493707.5,66620764,70366651,2648742.1,PushPop,:optim_step
7.7,99533213,2,49766606.5,49766606.5,49413477,50119736,499400.5,PushPop,:forward
1.3,17143136,144,119049.6,121335.5,98559,162686,14359.9,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.3,4020747,2,2010373.5,2010373.5,1991178,2029569,27146.5,PushPop,:BasicsTransformerLM.layers.0
0.2,2954647,2,1477323.5,1477323.5,1445928,1508719,44399.9,PushPop,:BasicsTransformerLM.layers.0.attn
0.2,2776775,2,1388387.5,1388387.5,1385407,1391368,4215.1,PushPop,:BasicsTransformerLM.layers.3
0.2,2772220,2,1386110.0,1386110.0,1368208,1404012,25317.3,PushPop,:BasicsTransformerLM.layers.9
0.2,2771576,2,1385788.0,1385788.0,1369006,1402570,23733.3,PushPop,:BasicsTransformerLM.layers.11
0.2,2764349,2,1382174.5,1382174.5,1374847,1389502,10362.6,PushPop,:BasicsTransformerLM.layers.35
0.2,2753625,2,1376812.5,1376812.5,1319561,1434064,80965.8,PushPop,:BasicsTransformerLM.layers.5
0.2,2751307,2,1375653.5,1375653.5,1367479,1383828,11560.5,PushPop,:BasicsTransformerLM.layers.12
0.2,2748713,2,1374356.5,1374356.5,1358078,1390635,23021.3,PushPop,:BasicsTransformerLM.layers.6
0.2,2744804,2,1372402.0,1372402.0,1343880,1400924,40336.2,PushPop,:BasicsTransformerLM.layers.15
0.2,2729448,2,1364724.0,1364724.0,1363950,1365498,1094.6,PushPop,:BasicsTransformerLM.layers.2
0.2,2720682,2,1360341.0,1360341.0,1346885,1373797,19029.7,PushPop,:BasicsTransformerLM.layers.8
0.2,2714196,2,1357098.0,1357098.0,1337336,1376860,27947.7,PushPop,:BasicsTransformerLM.layers.20
0.2,2710352,2,1355176.0,1355176.0,1331539,1378813,33427.8,PushPop,:BasicsTransformerLM.layers.25
0.2,2708361,2,1354180.5,1354180.5,1353647,1354714,754.5,PushPop,:BasicsTransformerLM.layers.1
0.2,2707358,2,1353679.0,1353679.0,1325987,1381371,39162.4,PushPop,:BasicsTransformerLM.layers.23
0.2,2699534,2,1349767.0,1349767.0,1324253,1375281,36082.2,PushPop,:BasicsTransformerLM.layers.18
0.2,2698963,2,1349481.5,1349481.5,1303469,1395494,65071.5,PushPop,:BasicsTransformerLM.layers.13
0.2,2696859,2,1348429.5,1348429.5,1315642,1381217,46368.5,PushPop,:BasicsTransformerLM.layers.17
0.2,2696614,2,1348307.0,1348307.0,1322584,1374030,36377.8,PushPop,:BasicsTransformerLM.layers.26
0.2,2695375,2,1347687.5,1347687.5,1319775,1375600,39474.2,PushPop,:BasicsTransformerLM.layers.29
0.2,2690479,2,1345239.5,1345239.5,1321692,1368787,33301.2,PushPop,:BasicsTransformerLM.layers.4
0.2,2686550,2,1343275.0,1343275.0,1322492,1364058,29391.6,PushPop,:BasicsTransformerLM.layers.22
0.2,2674637,2,1337318.5,1337318.5,1319723,1354914,24883.8,PushPop,:BasicsTransformerLM.layers.14
0.2,2669302,2,1334651.0,1334651.0,1326787,1342515,11121.4,PushPop,:BasicsTransformerLM.layers.28
0.2,2657310,2,1328655.0,1328655.0,1305741,1351569,32405.3,PushPop,:BasicsTransformerLM.layers.30
0.2,2653327,2,1326663.5,1326663.5,1316994,1336333,13674.7,PushPop,:BasicsTransformerLM.layers.7
0.2,2651906,2,1325953.0,1325953.0,1320698,1331208,7431.7,PushPop,:BasicsTransformerLM.layers.24
0.2,2645804,2,1322902.0,1322902.0,1284438,1361366,54396.3,PushPop,:BasicsTransformerLM.layers.31
0.2,2642968,2,1321484.0,1321484.0,1304530,1338438,23976.6,PushPop,:BasicsTransformerLM.layers.32
0.2,2639809,2,1319904.5,1319904.5,1277513,1362296,59950.6,PushPop,:BasicsTransformerLM.layers.16
0.2,2636381,2,1318190.5,1318190.5,1284805,1351576,47214.2,PushPop,:BasicsTransformerLM.layers.19
0.2,2634883,2,1317441.5,1317441.5,1294898,1339985,31881.3,PushPop,:BasicsTransformerLM.layers.27
0.2,2623703,2,1311851.5,1311851.5,1286915,1336788,35265.5,PushPop,:BasicsTransformerLM.layers.10
0.2,2623035,2,1311517.5,1311517.5,1310256,1312779,1784.0,PushPop,:BasicsTransformerLM.layers.21
0.2,2621688,2,1310844.0,1310844.0,1295533,1326155,21653.0,PushPop,:BasicsTransformerLM.layers.34
0.2,2548504,2,1274252.0,1274252.0,1268380,1280124,8304.3,PushPop,:BasicsTransformerLM.layers.33
0.1,1806361,2,903180.5,903180.5,868502,937859,49042.8,PushPop,:BasicsTransformerLM.layers.9.attn
0.1,1798597,2,899298.5,899298.5,898964,899633,473.1,PushPop,:BasicsTransformerLM.layers.11.attn
0.1,1781677,2,890838.5,890838.5,879900,901777,15469.4,PushPop,:BasicsTransformerLM.layers.35.attn
0.1,1773887,2,886943.5,886943.5,869778,904109,24275.7,PushPop,:BasicsTransformerLM.layers.3.attn
0.1,1773048,2,886524.0,886524.0,859501,913547,38216.3,PushPop,:BasicsTransformerLM.layers.15.attn
