Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
38.9,541326499,1,541326499.0,541326499.0,541326499,541326499,0.0,PushPop,:timing
20.3,281900848,2,140950424.0,140950424.0,140821474,141079374,182362.8,PushPop,:optim_step
15.8,219270371,2,109635185.5,109635185.5,109577439,109692932,81665.9,PushPop,:backward
15.8,219244453,2,109622226.5,109622226.5,109565725,109678728,79905.2,PushPop,:torch.autograd.backward
2.8,38660172,2,19330086.0,19330086.0,19312997,19347175,24167.5,PushPop,:forward
0.4,6212529,48,129427.7,129574.0,96658,182213,22024.2,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.3,4212482,2,2106241.0,2106241.0,2077714,2134768,40343.3,PushPop,:BasicsTransformerLM.layers.0
0.2,3187172,2,1593586.0,1593586.0,1576488,1610684,24180.2,PushPop,:BasicsTransformerLM.layers.6
0.2,3159979,2,1579989.5,1579989.5,1552792,1607187,38463.1,PushPop,:BasicsTransformerLM.layers.4
0.2,3113186,2,1556593.0,1556593.0,1536124,1577062,28947.5,PushPop,:BasicsTransformerLM.layers.2
0.2,3091537,2,1545768.5,1545768.5,1478194,1613343,95564.8,PushPop,:BasicsTransformerLM.layers.11
0.2,3086103,2,1543051.5,1543051.5,1527731,1558372,21666.5,PushPop,:BasicsTransformerLM.layers.10
0.2,3033316,2,1516658.0,1516658.0,1476995,1556321,56092.0,PushPop,:BasicsTransformerLM.layers.8
0.2,2989170,2,1494585.0,1494585.0,1452580,1536590,59404.0,PushPop,:BasicsTransformerLM.layers.7
0.2,2978837,2,1489418.5,1489418.5,1484099,1494738,7522.9,PushPop,:BasicsTransformerLM.layers.5
0.2,2954408,2,1477204.0,1477204.0,1445172,1509236,45300.1,PushPop,:BasicsTransformerLM.layers.1
0.2,2907777,2,1453888.5,1453888.5,1451267,1456510,3707.4,PushPop,:BasicsTransformerLM.layers.9
0.2,2904029,2,1452014.5,1452014.5,1438730,1465299,18787.1,PushPop,:BasicsTransformerLM.layers.3
0.2,2801634,2,1400817.0,1400817.0,1390245,1411389,14951.1,PushPop,:BasicsTransformerLM.layers.0.attn
0.1,2021848,2,1010924.0,1010924.0,994097,1027751,23797.0,PushPop,:BasicsTransformerLM.layers.11.attn
0.1,2003425,2,1001712.5,1001712.5,990931,1012494,15247.3,PushPop,:BasicsTransformerLM.layers.5.attn
