Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
32.1,1380139411,1,1380139411.0,1380139411.0,1380139411,1380139411,0.0,PushPop,:timing
20.7,888364979,2,444182489.5,444182489.5,444113921,444251058,96970.5,PushPop,:backward
20.7,888340101,2,444170050.5,444170050.5,444104181,444235920,93153.5,PushPop,:torch.autograd.backward
6.4,276224689,2,138112344.5,138112344.5,138015531,138209158,136915.0,PushPop,:optim_step
4.8,204927711,2,102463855.5,102463855.5,102457126,102470585,9517.0,PushPop,:forward
2.1,90908954,72,1262624.4,176902.0,166087,3155101,1430802.4,PushPop,:scaled_dot_product_attention
1.3,57416994,72,797458.3,49784.0,47129,2087461,975863.2,PushPop,:computing softmax
1.1,46554932,144,323298.1,74598.5,59909,960812,357092.3,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.6,26085150,72,362293.8,23790.0,22560,967392,453429.9,PushPop,:applying attention mask
0.3,12611575,2,6305787.5,6305787.5,6300193,6311382,7911.8,PushPop,:BasicsTransformerLM.layers.27
0.3,12608934,2,6304467.0,6304467.0,6301812,6307122,3754.7,PushPop,:BasicsTransformerLM.layers.26
0.3,12608744,2,6304372.0,6304372.0,6303622,6305122,1060.7,PushPop,:BasicsTransformerLM.layers.30
0.3,12608514,2,6304257.0,6304257.0,6301722,6306792,3585.0,PushPop,:BasicsTransformerLM.layers.34
0.3,12598694,2,6299347.0,6299347.0,6297552,6301142,2538.5,PushPop,:BasicsTransformerLM.layers.31
0.3,12595216,2,6297608.0,6297608.0,6293063,6302153,6427.6,PushPop,:BasicsTransformerLM.layers.32
0.3,12592774,2,6296387.0,6296387.0,6295622,6297152,1081.9,PushPop,:BasicsTransformerLM.layers.28
0.3,12589245,2,6294622.5,6294622.5,6291772,6297473,4031.2,PushPop,:BasicsTransformerLM.layers.23
0.3,12586836,2,6293418.0,6293418.0,6293023,6293813,558.6,PushPop,:BasicsTransformerLM.layers.24
0.3,12584825,2,6292412.5,6292412.5,6287522,6297303,6916.2,PushPop,:BasicsTransformerLM.layers.25
0.3,12573885,2,6286942.5,6286942.5,6285553,6288332,1965.0,PushPop,:BasicsTransformerLM.layers.33
0.3,12552645,2,6276322.5,6276322.5,6250783,6301862,36118.3,PushPop,:BasicsTransformerLM.layers.35
0.3,12550435,2,6275217.5,6275217.5,6248783,6301652,37384.0,PushPop,:BasicsTransformerLM.layers.29
0.2,10411505,2,5205752.5,5205752.5,5203163,5208342,3662.1,PushPop,:BasicsTransformerLM.layers.34.attn
0.2,10408485,2,5204242.5,5204242.5,5203303,5205182,1328.7,PushPop,:BasicsTransformerLM.layers.26.attn
0.2,10404005,2,5202002.5,5202002.5,5200682,5203323,1867.5,PushPop,:BasicsTransformerLM.layers.28.attn
0.2,10403465,2,5201732.5,5201732.5,5193673,5209792,11397.9,PushPop,:BasicsTransformerLM.layers.27.attn
0.2,10399466,2,5199733.0,5199733.0,5196083,5203383,5161.9,PushPop,:BasicsTransformerLM.layers.30.attn
0.2,10399165,2,5199582.5,5199582.5,5196553,5202612,4284.4,PushPop,:BasicsTransformerLM.layers.33.attn
0.2,10396376,2,5198188.0,5198188.0,5194883,5201493,4674.0,PushPop,:BasicsTransformerLM.layers.31.attn
0.2,10384766,2,5192383.0,5192383.0,5184833,5199933,10677.3,PushPop,:BasicsTransformerLM.layers.25.attn
0.2,10380886,2,5190443.0,5190443.0,5180223,5200663,14453.3,PushPop,:BasicsTransformerLM.layers.32.attn
0.2,10377156,2,5188578.0,5188578.0,5185583,5191573,4235.6,PushPop,:BasicsTransformerLM.layers.23.attn
0.2,10370816,2,5185408.0,5185408.0,5181993,5188823,4829.5,PushPop,:BasicsTransformerLM.layers.24.attn
0.2,10365056,2,5182528.0,5182528.0,5156713,5208343,36507.9,PushPop,:BasicsTransformerLM.layers.35.attn
0.2,10353326,2,5176663.0,5176663.0,5146634,5206692,42467.4,PushPop,:BasicsTransformerLM.layers.29.attn
0.1,4290889,2,2145444.5,2145444.5,1989802,2301087,220111.7,PushPop,:BasicsTransformerLM.layers.22
0.1,3418887,72,47484.5,46764.0,44009,58329,2841.1,PushPop,:computing attention_scores
0.1,3273675,72,45467.7,44824.0,41619,60379,3247.8,PushPop,:computing output
0.1,2641621,2,1320810.5,1320810.5,1320805,1320816,7.8,PushPop,:loss
0.1,2421464,2,1210732.0,1210732.0,1173958,1247506,52006.3,PushPop,:BasicsTransformerLM.layers.0
0.0,2081052,2,1040526.0,1040526.0,894864,1186188,205997.2,PushPop,:BasicsTransformerLM.layers.22.attn
0.0,1775937,2,887968.5,887968.5,858344,917593,41895.4,PushPop,:BasicsTransformerLM.layers.0.attn
0.0,1763328,2,881664.0,881664.0,877574,885754,5784.1,PushPop,:BasicsTransformerLM.layers.34.ln2
0.0,1759227,2,879613.5,879613.5,876494,882733,4411.6,PushPop,:BasicsTransformerLM.layers.30.ln2
0.0,1756867,2,878433.5,878433.5,876563,880304,2645.3,PushPop,:BasicsTransformerLM.layers.32.ln2
0.0,1756538,2,878269.0,878269.0,872404,884134,8294.4,PushPop,:BasicsTransformerLM.layers.22.ln2
0.0,1755657,2,877828.5,877828.5,874703,880954,4420.1,PushPop,:BasicsTransformerLM.layers.26.ln2
0.0,1754066,2,877033.0,877033.0,876383,877683,919.2,PushPop,:BasicsTransformerLM.layers.23.ln2
0.0,1753337,2,876668.5,876668.5,874713,878624,2765.5,PushPop,:BasicsTransformerLM.layers.25.ln2
0.0,1751797,2,875898.5,875898.5,873014,878783,4079.3,PushPop,:BasicsTransformerLM.layers.24.ln2
0.0,1748308,2,874154.0,874154.0,869104,879204,7141.8,PushPop,:BasicsTransformerLM.layers.29.ln2
0.0,1748048,2,874024.0,874024.0,871834,876214,3097.1,PushPop,:BasicsTransformerLM.layers.33.ln2
0.0,1746187,2,873093.5,873093.5,871503,874684,2249.3,PushPop,:BasicsTransformerLM.layers.31.ln2
0.0,1744998,2,872499.0,872499.0,870854,874144,2326.4,PushPop,:BasicsTransformerLM.layers.35.ln2
0.0,1744328,2,872164.0,872164.0,867544,876784,6533.7,PushPop,:BasicsTransformerLM.layers.27.ln2
0.0,1738588,2,869294.0,869294.0,866724,871864,3634.5,PushPop,:BasicsTransformerLM.layers.28.ln2
0.0,1700258,2,850129.0,850129.0,840364,859894,13809.8,PushPop,:BasicsTransformerLM.layers.1
0.0,1637319,2,818659.5,818659.5,805395,831924,18758.8,PushPop,:BasicsTransformerLM.layers.2
