Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
38.6,541240133,1,541240133.0,541240133.0,541240133,541240133,0.0,PushPop,:timing
20.1,282585855,2,141292927.5,141292927.5,141010367,141575488,399600.9,PushPop,:optim_step
15.6,219542212,2,109771106.0,109771106.0,109467020,110075192,430042.5,PushPop,:backward
15.6,219503382,2,109751691.0,109751691.0,109442086,110061296,437847.6,PushPop,:torch.autograd.backward
2.7,37603398,2,18801699.0,18801699.0,18399676,19203722,568546.4,PushPop,:forward
0.5,7680752,24,320031.3,315005.5,285492,374277,18027.5,PushPop,:scaled_dot_product_attention
0.4,6154394,48,128216.5,129742.0,105656,166950,15295.3,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.3,4172770,2,2086385.0,2086385.0,2022506,2150264,90338.5,PushPop,:BasicsTransformerLM.layers.0
0.2,3045977,2,1522988.5,1522988.5,1520724,1525253,3202.5,PushPop,:BasicsTransformerLM.layers.5
0.2,3001057,2,1500528.5,1500528.5,1441597,1559460,83341.7,PushPop,:BasicsTransformerLM.layers.3
0.2,3000055,2,1500027.5,1500027.5,1468074,1531981,45189.1,PushPop,:BasicsTransformerLM.layers.6
0.2,2988232,2,1494116.0,1494116.0,1433611,1554621,85567.0,PushPop,:BasicsTransformerLM.layers.9
0.2,2987982,2,1493991.0,1493991.0,1488001,1499981,8471.1,PushPop,:BasicsTransformerLM.layers.11
0.2,2985089,2,1492544.5,1492544.5,1446369,1538720,65302.0,PushPop,:BasicsTransformerLM.layers.7
0.2,2971395,2,1485697.5,1485697.5,1446381,1525014,55601.9,PushPop,:BasicsTransformerLM.layers.1
0.2,2934872,2,1467436.0,1467436.0,1431944,1502928,50193.3,PushPop,:BasicsTransformerLM.layers.2
0.2,2932412,2,1466206.0,1466206.0,1383120,1549292,117501.3,PushPop,:BasicsTransformerLM.layers.0.attn
0.2,2894639,2,1447319.5,1447319.5,1411911,1482728,50075.2,PushPop,:BasicsTransformerLM.layers.8
0.2,2882918,2,1441459.0,1441459.0,1411058,1471860,42993.5,PushPop,:BasicsTransformerLM.layers.4
0.2,2833449,2,1416724.5,1416724.5,1386200,1447249,43168.2,PushPop,:BasicsTransformerLM.layers.10
0.2,2261953,24,94248.0,92766.0,86755,113759,7016.2,PushPop,:computing softmax
