Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.5,1133195307,1,1133195307.0,1133195307.0,1133195307,1133195307,0.0,PushPop,:timing
21.1,714679387,1,714679387.0,714679387.0,714679387,714679387,0.0,PushPop,:backward
21.1,714668067,1,714668067.0,714668067.0,714668067,714668067,0.0,PushPop,:torch.autograd.backward
7.8,264953643,1,264953643.0,264953643.0,264953643,264953643,0.0,PushPop,:optim_step
4.4,149235473,1,149235473.0,149235473.0,149235473,149235473,0.0,PushPop,:forward
0.8,25356169,32,792380.3,162213.0,148478,1851707,831594.3,PushPop,:scaled_dot_product_attention
0.5,15484614,64,241947.1,71434.0,57139,1049937,371921.4,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.4,13053987,32,407937.1,48264.5,46210,1009778,471678.6,PushPop,:computing softmax
0.3,11161558,1,11161558.0,11161558.0,11161558,11161558,0.0,PushPop,:BasicsTransformerLM.layers.23
0.3,11158719,1,11158719.0,11158719.0,11158719,11158719,0.0,PushPop,:BasicsTransformerLM.layers.26
0.3,11156978,1,11156978.0,11156978.0,11156978,11156978,0.0,PushPop,:BasicsTransformerLM.layers.31
0.3,11156798,1,11156798.0,11156798.0,11156798,11156798,0.0,PushPop,:BasicsTransformerLM.layers.22
0.3,11156488,1,11156488.0,11156488.0,11156488,11156488,0.0,PushPop,:BasicsTransformerLM.layers.29
0.3,11154978,1,11154978.0,11154978.0,11154978,11154978,0.0,PushPop,:BasicsTransformerLM.layers.28
0.3,11154778,1,11154778.0,11154778.0,11154778,11154778,0.0,PushPop,:BasicsTransformerLM.layers.30
0.3,11152718,1,11152718.0,11152718.0,11152718,11152718,0.0,PushPop,:BasicsTransformerLM.layers.25
0.3,11151438,1,11151438.0,11151438.0,11151438,11151438,0.0,PushPop,:BasicsTransformerLM.layers.21
0.3,11149118,1,11149118.0,11149118.0,11149118,11149118,0.0,PushPop,:BasicsTransformerLM.layers.24
0.3,11147829,1,11147829.0,11147829.0,11147829,11147829,0.0,PushPop,:BasicsTransformerLM.layers.27
0.3,8603711,32,268866.0,24090.0,21610,684071,322048.1,PushPop,:applying attention mask
0.2,8166217,1,8166217.0,8166217.0,8166217,8166217,0.0,PushPop,:BasicsTransformerLM.layers.20
0.1,4554392,1,4554392.0,4554392.0,4554392,4554392,0.0,PushPop,:BasicsTransformerLM.layers.21.attn
0.1,4525213,1,4525213.0,4525213.0,4525213,4525213,0.0,PushPop,:BasicsTransformerLM.layers.23.attn
0.1,4523002,1,4523002.0,4523002.0,4523002,4523002,0.0,PushPop,:BasicsTransformerLM.layers.26.attn
0.1,4522483,1,4522483.0,4522483.0,4522483,4522483,0.0,PushPop,:BasicsTransformerLM.layers.31.attn
0.1,4522022,1,4522022.0,4522022.0,4522022,4522022,0.0,PushPop,:BasicsTransformerLM.layers.28.attn
0.1,4520483,1,4520483.0,4520483.0,4520483,4520483,0.0,PushPop,:BasicsTransformerLM.layers.30.attn
0.1,4520313,1,4520313.0,4520313.0,4520313,4520313,0.0,PushPop,:BasicsTransformerLM.layers.29.attn
0.1,4518623,1,4518623.0,4518623.0,4518623,4518623,0.0,PushPop,:BasicsTransformerLM.layers.25.attn
0.1,4516503,1,4516503.0,4516503.0,4516503,4516503,0.0,PushPop,:BasicsTransformerLM.layers.22.attn
