Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.6,1143995929,1,1143995929.0,1143995929.0,1143995929,1143995929,0.0,PushPop,:timing
21.1,718685200,1,718685200.0,718685200.0,718685200,718685200,0.0,PushPop,:backward
21.1,718665000,1,718665000.0,718665000.0,718665000,718665000,0.0,PushPop,:torch.autograd.backward
7.9,270266082,1,270266082.0,270266082.0,270266082,270266082,0.0,PushPop,:optim_step
4.4,149652023,1,149652023.0,149652023.0,149652023,149652023,0.0,PushPop,:forward
0.7,24537448,32,766795.3,199482.0,186507,1861714,800218.9,PushPop,:scaled_dot_product_attention
0.5,16299227,64,254675.4,92814.0,77299,1061345,368203.1,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.4,12635335,32,394854.2,65694.0,61469,1028356,463294.2,PushPop,:computing softmax
0.3,11219533,1,11219533.0,11219533.0,11219533,11219533,0.0,PushPop,:BasicsTransformerLM.layers.22
0.3,11218763,1,11218763.0,11218763.0,11218763,11218763,0.0,PushPop,:BasicsTransformerLM.layers.31
0.3,11218633,1,11218633.0,11218633.0,11218633,11218633,0.0,PushPop,:BasicsTransformerLM.layers.29
0.3,11215214,1,11215214.0,11215214.0,11215214,11215214,0.0,PushPop,:BasicsTransformerLM.layers.24
0.3,11214613,1,11214613.0,11214613.0,11214613,11214613,0.0,PushPop,:BasicsTransformerLM.layers.26
0.3,11133705,1,11133705.0,11133705.0,11133705,11133705,0.0,PushPop,:BasicsTransformerLM.layers.27
0.3,11127835,1,11127835.0,11127835.0,11127835,11127835,0.0,PushPop,:BasicsTransformerLM.layers.25
0.3,11126945,1,11126945.0,11126945.0,11126945,11126945,0.0,PushPop,:BasicsTransformerLM.layers.30
0.3,11125645,1,11125645.0,11125645.0,11125645,11125645,0.0,PushPop,:BasicsTransformerLM.layers.23
0.3,11123725,1,11123725.0,11123725.0,11123725,11123725,0.0,PushPop,:BasicsTransformerLM.layers.28
0.3,11121135,1,11121135.0,11121135.0,11121135,11121135,0.0,PushPop,:BasicsTransformerLM.layers.21
0.2,7894281,32,246696.3,31660.0,29239,670810,302361.1,PushPop,:applying attention mask
0.1,4985540,1,4985540.0,4985540.0,4985540,4985540,0.0,PushPop,:BasicsTransformerLM.layers.20
0.1,4564007,1,4564007.0,4564007.0,4564007,4564007,0.0,PushPop,:BasicsTransformerLM.layers.28.attn
0.1,4563256,1,4563256.0,4563256.0,4563256,4563256,0.0,PushPop,:BasicsTransformerLM.layers.27.attn
0.1,4563157,1,4563157.0,4563157.0,4563157,4563157,0.0,PushPop,:BasicsTransformerLM.layers.31.attn
0.1,4562396,1,4562396.0,4562396.0,4562396,4562396,0.0,PushPop,:BasicsTransformerLM.layers.29.attn
0.1,4561986,1,4561986.0,4561986.0,4561986,4561986,0.0,PushPop,:BasicsTransformerLM.layers.21.attn
0.1,4561297,1,4561297.0,4561297.0,4561297,4561297,0.0,PushPop,:BasicsTransformerLM.layers.25.attn
0.1,4561246,1,4561246.0,4561246.0,4561246,4561246,0.0,PushPop,:BasicsTransformerLM.layers.23.attn
0.1,4559896,1,4559896.0,4559896.0,4559896,4559896,0.0,PushPop,:BasicsTransformerLM.layers.26.attn
0.1,4559237,1,4559237.0,4559237.0,4559237,4559237,0.0,PushPop,:BasicsTransformerLM.layers.22.attn
0.1,4558236,1,4558236.0,4558236.0,4558236,4558236,0.0,PushPop,:BasicsTransformerLM.layers.24.attn
0.1,4557176,1,4557176.0,4557176.0,4557176,4557176,0.0,PushPop,:BasicsTransformerLM.layers.30.attn
0.1,3898106,1,3898106.0,3898106.0,3898106,3898106,0.0,PushPop,:BasicsTransformerLM.layers.23.ffn
0.1,3897525,1,3897525.0,3897525.0,3897525,3897525,0.0,PushPop,:BasicsTransformerLM.layers.27.ffn
0.1,3897366,1,3897366.0,3897366.0,3897366,3897366,0.0,PushPop,:BasicsTransformerLM.layers.31.ffn
0.1,3896016,1,3896016.0,3896016.0,3896016,3896016,0.0,PushPop,:BasicsTransformerLM.layers.22.ffn
0.1,3895095,1,3895095.0,3895095.0,3895095,3895095,0.0,PushPop,:BasicsTransformerLM.layers.30.ffn
0.1,3894855,1,3894855.0,3894855.0,3894855,3894855,0.0,PushPop,:BasicsTransformerLM.layers.24.ffn
0.1,3894536,1,3894536.0,3894536.0,3894536,3894536,0.0,PushPop,:BasicsTransformerLM.layers.28.ffn
0.1,3894396,1,3894396.0,3894396.0,3894396,3894396,0.0,PushPop,:BasicsTransformerLM.layers.25.ffn
0.1,3893796,1,3893796.0,3893796.0,3893796,3893796,0.0,PushPop,:BasicsTransformerLM.layers.26.ffn
0.1,3893035,1,3893035.0,3893035.0,3893035,3893035,0.0,PushPop,:BasicsTransformerLM.layers.21.ffn
0.1,3891526,1,3891526.0,3891526.0,3891526,3891526,0.0,PushPop,:BasicsTransformerLM.layers.20.ffn
0.1,3886896,1,3886896.0,3886896.0,3886896,3886896,0.0,PushPop,:BasicsTransformerLM.layers.29.ffn
