dtype,d_head,seq_len,impl,fwd_ms,bwd_ms,e2e_ms
bf16,16,128,triton,0.018271372534845974,0.3244096620543168,0.5317320466400629
bf16,16,128,torch,0.11817227594618654,0.6733858016160157,0.7873515380525041
bf16,16,256,triton,0.01836263742536252,0.5774380863986464,0.6626192683904943
bf16,16,256,torch,0.11937792832183527,0.6437946146999309,0.936898320697356
bf16,16,512,triton,0.02044204565427989,0.3371896450759984,0.6041203117989874
bf16,16,512,torch,0.11757300361990929,0.5963871407189539,0.8510516806254311
bf16,16,1024,triton,0.027328726226556386,0.5811668757283897,0.5614805707619304
bf16,16,1024,torch,0.11887648661394377,0.5732181640856105,1.0149166664729516
bf16,16,2048,triton,0.04578435652424919,0.4309469084601757,0.541163485019635
bf16,16,2048,torch,0.11857225303975945,0.5420070698490966,1.0099373702492034
bf16,16,4096,triton,0.08350918248882742,0.5896025756061477,0.6758816351172745
bf16,16,4096,torch,0.20021410278994545,0.6874531852374287,0.9455706019734227
bf16,16,8192,triton,0.15926715918651824,0.5753577159983772,0.7208350383452256
bf16,16,8192,torch,0.8264912708945896,1.4684383509651062,2.280246098836263
bf16,16,16384,triton,0.31400022950532624,1.9287400071819623,2.2389112461444944
bf16,16,16384,torch,2.9820625493020723,5.3522186279296875,8.312541181390936
bf16,16,32768,triton,0.9139639975932928,7.595421353975932,8.503912925720215
bf16,16,32768,torch,11.432700037956238,20.807168006896973,32.21235275268555
bf16,16,65536,triton,3.5723875451970986,30.677663803100586,34.25894355773926
bf16,16,65536,torch,45.363887786865234,82.8447036743164,128.2059783935547
bf16,32,128,triton,0.017839840525123864,0.5061355783925419,0.7638363259249046
bf16,32,128,torch,0.12175579115345671,0.7347364331687893,1.0328550791511169
bf16,32,256,triton,0.01725308958266219,0.6058596365831115,0.7820237436795343
bf16,32,256,torch,0.12326217308692042,0.71870747375253,0.9908839464187622
bf16,32,512,triton,0.019506413645933578,0.6092844431598982,0.6743057642396041
bf16,32,512,torch,0.12119553927238876,0.5776432955465397,1.0206792219992606
bf16,32,1024,triton,0.0205324428652949,0.613963554551204,0.8199682690203189
bf16,32,1024,torch,0.12285666555429982,0.633476537332606,1.0148569690846951
bf16,32,2048,triton,0.02785006369564943,0.6367446988721022,0.7294405816245253
bf16,32,2048,torch,0.11464171320802033,0.5490554527849214,0.9992084258481075
bf16,32,4096,triton,0.047774416057452376,0.5901194428519685,0.6307067799827327
bf16,32,4096,torch,0.19987526172725714,0.6419253825584305,0.9443483309199413
bf16,32,8192,triton,0.08824612437232807,0.7773592076679268,0.8594159200353529
bf16,32,8192,torch,0.8254274798476178,1.4553014989942312,2.2660844825034916
bf16,32,16384,triton,0.2220684098230826,2.9721770137548447,3.188431978225708
bf16,32,16384,torch,2.980212370554606,5.34443908267551,8.303109862587668
bf16,32,32768,triton,0.767441696267787,11.772531867027283,12.539295877729144
bf16,32,32768,torch,11.434852004051208,20.781415939331055,32.198785146077476
bf16,32,65536,triton,2.606832433391262,46.05726432800293,48.66934394836426
bf16,32,65536,torch,45.363792419433594,82.87747192382812,128.15670776367188
bf16,64,128,triton,0.019027208923011976,0.6259878418275289,0.7457835978741268
bf16,64,128,torch,0.11869821620702341,0.6198351868485983,0.9646576553925701
bf16,64,256,triton,0.018310056726015305,0.5859774550931021,0.7052118140403355
bf16,64,256,torch,0.1194770425634246,0.5223478506008784,0.9997062881787618
bf16,64,512,triton,0.019666644316278174,0.5983350096661367,0.6484266673427781
bf16,64,512,torch,0.12362627533324268,0.7579243647587763,0.9604754752439001
bf16,64,1024,triton,0.02217164159587672,0.649999141293977,0.6478950481314759
bf16,64,1024,torch,0.11953771028282313,0.7087385490932295,0.9749973364818243
bf16,64,2048,triton,0.030930179521207236,0.5400301375724736,0.6356743344690947
bf16,64,2048,torch,0.12542661254097814,0.6315368756856004,1.0052126358475602
bf16,64,4096,triton,0.05330298881032574,0.6807177536004831,0.7255257933304228
bf16,64,4096,torch,0.1996530594342217,0.5810668525988596,1.017823045796687
bf16,64,8192,triton,0.09836647610084663,0.7625102950531302,0.8562837766026551
bf16,64,8192,torch,0.8237316524773314,1.453397000208497,2.2635329280580794
bf16,64,16384,triton,0.2553616643681074,2.9617780074477196,3.21454078356425
bf16,64,16384,torch,2.985918066718362,5.365102291107178,8.333518548445268
bf16,64,32768,triton,0.9529142367839813,11.616995930671692,12.5718720299857
bf16,64,32768,torch,11.43673586845398,20.80995225906372,32.24434153238932
bf16,64,65536,triton,3.1116676253657185,46.245920181274414,49.39025688171387
bf16,64,65536,torch,45.35958480834961,82.84476470947266,128.1136016845703
bf16,128,128,triton,0.019760776907572605,0.5780436933405173,0.699473228210058
bf16,128,128,torch,0.12651888276944614,0.6048723389984856,0.9432345961665248
bf16,128,256,triton,0.019643208967127877,0.6572571155412237,0.6029819168009848
bf16,128,256,torch,0.12467976118747295,0.679604719539255,0.9911485592895579
bf16,128,512,triton,0.021804283490003358,0.5826546562319043,0.7256663524929214
bf16,128,512,torch,0.12254297628426683,0.6726700191476703,0.9671972670206209
bf16,128,1024,triton,0.03192548590135081,0.6787842686186317,0.7955194099233784
bf16,128,1024,torch,0.12293607082250899,0.573917832141532,0.9638841391979963
bf16,128,2048,triton,0.056622316845834436,0.5019350598521412,0.7223443072289228
bf16,128,2048,torch,0.12427809649215402,0.6324386969208717,1.0018235252184027
bf16,128,4096,triton,0.10621812750531263,0.6110087314634832,0.6734313466111008
bf16,128,4096,torch,0.2030506124443347,0.675976633552521,1.0228640051876627
bf16,128,8192,triton,0.27646050818191675,0.7779448543276105,1.049009295715683
bf16,128,8192,torch,0.8290784578574332,1.4624134954065084,2.2757295199802945
bf16,128,16384,triton,0.9691582078836403,2.9621720016002655,3.926170892715454
bf16,128,16384,torch,3.0019049867987633,5.379288885328505,8.358013153076172
bf16,128,32768,triton,3.3838013698314797,11.684500098228455,15.061024030049643
bf16,128,32768,torch,11.502755999565125,20.85755205154419,32.33929570515951
bf16,128,65536,triton,13.351565633501325,46.84087944030762,60.195838928222656
bf16,128,65536,torch,45.74660873413086,83.2409896850586,128.92880249023438
fp32,16,128,triton,0.018284882411616556,0.5687425415654209,0.7472030327751719
fp32,16,128,torch,0.1286698748008348,0.6997642093583157,1.0601989554322284
fp32,16,256,triton,0.02190633864410063,0.31874619253255704,0.6967173518723999
fp32,16,256,torch,0.12849597215339306,0.5254975962638855,0.8796442906771388
fp32,16,512,triton,0.03018696556200353,0.6655751149805765,0.7608013335201476
fp32,16,512,torch,0.1300135291481422,0.6621968702129696,1.0246857982909607
fp32,16,1024,triton,0.05179967711931684,0.5715421956998331,0.601849726602143
fp32,16,1024,torch,0.12839797128369843,0.7780467765346454,0.9369256583655753
fp32,16,2048,triton,0.09366201837200763,0.40401137780260155,0.6940973968181795
fp32,16,2048,torch,0.12828752762741513,0.6999918646731619,1.0770016938748985
fp32,16,4096,triton,0.18072857425825015,0.5930039649424346,0.7935887393024232
fp32,16,4096,torch,0.38450087485395273,0.7625594749802449,1.1500444967452794
fp32,16,8192,triton,0.35691509443906044,1.398811070735638,1.7585611646825616
fp32,16,8192,torch,1.25593101978302,2.4614736422514305,3.7124910904810977
fp32,16,16384,triton,0.7295461740604666,4.790889573097229,5.525347737705006
fp32,16,16384,torch,4.34935998916626,8.680680708451705,13.013439995901924
fp32,16,32768,triton,2.9024193864880186,19.52199058532715,22.41749620437622
fp32,16,32768,torch,17.295827102661132,34.36907196044922,51.65804672241211
fp32,16,65536,triton,10.85753239525689,73.30307006835938,84.16473388671875
fp32,16,65536,torch,67.25641632080078,131.51951599121094,198.7266845703125
fp32,32,128,triton,0.019928223000780943,0.5722824033948924,0.5674158437579286
fp32,32,128,torch,0.1279010592951431,0.6980096510951481,0.8010062236844757
fp32,32,256,triton,0.01946565930581848,0.5893849340187112,0.6250355828376043
fp32,32,256,torch,0.12694136139593626,0.6917341359674114,0.9252961840522423
fp32,32,512,triton,0.02158842994740494,0.6390574039205125,0.7888120723920956
fp32,32,512,torch,0.12518546680609385,0.7553172362061729,1.0363745159573026
fp32,32,1024,triton,0.023077329886639998,0.36570683426744355,0.649927712172913
fp32,32,1024,torch,0.12769818063330862,0.6125252421559959,1.0347716968793135
fp32,32,2048,triton,0.035525550166594574,0.573499898497875,0.7386490370481069
fp32,32,2048,torch,0.1341927279310988,0.5659341366254083,0.9526826668353308
fp32,32,4096,triton,0.06291216930664863,0.6094206401279995,0.6225526933594951
fp32,32,4096,torch,0.39862470282857115,0.7306489432890584,1.1244050175396365
