size,mode,warmup,iters,autocast,peak_memory_mib,checkpoint_block_size,compiled_mode,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,optim_mean_ms,optim_std_ms,ctx_length
small,train,10,50,False,2166.98486328125,,compiled,10.934715361509006,0.27384739062617547,11.933453099918552,0.8842245706076397,10.930134621739853,0.34205545340976035,256
small,train,10,50,False,3587.3212890625,,compiled,11.179353980114684,0.1118077380015938,17.629108323017135,2.737656440213094,10.76275480329059,0.2797116489795342,1024
small,train,10,50,False,24636.4140625,,compiled,53.6023622812354,0.14524752280260309,89.28899209975498,0.14423636849438906,11.678942501312122,0.290112077919308,4096
small,train,10,50,False,87954.6796875,,compiled,158.41305829933845,0.11890153169726167,258.59322389937006,0.07837781903952626,10.629968484863639,0.37917133686704696,8192
small,compiled,10,50,False,,,True,,,,,,,16384
small,compiled,10,50,False,,,True,,,,,,,32768
medium,train,10,50,False,6685.09814453125,,compiled,16.057868858624715,36.44447447867241,19.297141119022854,0.03914320160528481,17.02558419929119,0.08021451912757634,256
medium,train,10,50,False,10094.0947265625,,compiled,30.646264800452627,30.49955610257525,47.372125398833305,4.500667982805497,23.741576739703305,3.7674747372728694,1024
medium,train,10,50,False,64178.8798828125,,compiled,147.57690145925153,12.378715285788523,248.37547376053408,0.06833338039114087,23.82113278086763,0.39430494661964594,4096
medium,compiled,10,50,False,,,True,,,,,,,8192
medium,compiled,10,50,False,,,True,,,,,,,16384
medium,compiled,10,50,False,,,True,,,,,,,32768
large,train,10,50,False,15542.27392578125,,compiled,36.79425572161563,0.8464061679167543,41.15836897632107,0.0761911439676154,32.384593120077625,0.781157690494099,256
large,train,10,50,False,20973.669921875,,compiled,65.88044961943524,0.16399813177362835,115.2198893786408,4.642212386926754,32.953787098813336,0.8477297638544956,1024
large,compiled,10,50,False,,,True,,,,,,,4096
large,compiled,10,50,False,,,True,,,,,,,8192
large,compiled,10,50,False,,,True,,,,,,,16384
large,compiled,10,50,False,,,True,,,,,,,32768
xl,train,10,50,False,52639.26220703125,,compiled,49.55832109320909,0.07126752753553665,100.93854903243482,0.3801117632224212,79.78979084640741,0.13235096456689438,256
xl,train,10,50,False,54251.9365234375,,compiled,163.70313218067167,0.20848800850907265,306.77955080056563,0.10918309624787337,79.71294530143496,0.08428423263507112,1024
xl,compiled,10,50,False,,,True,,,,,,,4096
xl,compiled,10,50,False,,,True,,,,,,,8192
xl,compiled,10,50,False,,,True,,,,,,,16384
xl,compiled,10,50,False,,,True,,,,,,,32768
