size,mode,warmup,iters,mean_ms,std_ms
small,f,5,10,0.01626932850340381,4.449114956767289e-05
small,fb,5,10,0.01630088301608339,4.714487607829957e-05
small,train,5,10,0.016347126325126738,6.434016757334893e-05
medium,f,5,10,0.04688609500881284,8.958075112132016e-05
medium,fb,5,10,0.04697077159071341,1.470644181556725e-05
medium,train,5,10,0.047012426005676386,7.970042580031959e-05
large,f,5,10,0.10558541630161926,2.5029172434221416e-05
large,fb,5,10,0.10576521051116287,0.0002583496787157696
large,train,5,10,0.10564719428075478,1.8478578154066754e-05
xl,f,5,10,0.29145722490502524,3.1906617038769e-05
xl,fb,5,10,0.2914882014971226,6.499695822697447e-05
xl,train,5,10,0.2915043012239039,5.4012720394918256e-05
